,RM,Ano,ETANOL,GASOLINA,Relacao
57,Região Metropolitana de Belém,2014,2.6537055485498167,2.9712866733803436,0.18779281158033378
58,Região Metropolitana de Belém,2015,2.8607474226803857,3.3580477129337734,0.24932871973353704
59,Região Metropolitana de Belém,2016,3.5160696821515742,3.8350924479166575,0.15806172547208874
60,Região Metropolitana de Belém,2017,3.4883215739484186,3.8058614008941936,0.15835351482806911
61,Região Metropolitana de Belém,2018,3.570358037578275,4.3104752808988565,0.2901476945592023
62,Região Metropolitana de Belém,2019,3.677192105263156,4.3433883008356675,0.25813192192277096
63,Região Metropolitana de Curitiba,2013,1.928076438230684,2.7793969290708005,0.5716064113134144
64,Região Metropolitana de Curitiba,2014,2.0231455815202493,2.9028564908041674,0.564604252261448
65,Região Metropolitana de Curitiba,2015,2.1827072105976373,3.1831361035832364,0.5887185072524433
66,Região Metropolitana de Curitiba,2016,2.6721074728807106,3.5488631132647086,0.4421741076222276
67,Região Metropolitana de Curitiba,2017,2.7181768459435367,3.56520420420429,0.42175070274561877
68,Região Metropolitana de Curitiba,2018,2.9092702557682246,4.168045130217678,0.5623470035329184
69,Região Metropolitana de Curitiba,2019,2.885172929773925,4.068974761255037,0.5382669541076783
70,Região Metropolitana de Florianópolis,2013,2.367919952774505,2.844200502397794,0.28252272789955063
71,Região Metropolitana de Florianópolis,2014,2.4415843039378466,2.9734172395557197,0.303280130777725
72,Região Metropolitana de Florianópolis,2015,2.567249931637937,3.2750367722165685,0.3765365646284015
73,Região Metropolitana de Florianópolis,2016,3.117563546187236,3.5560945205480086,0.21082559117713587
74,Região Metropolitana de Florianópolis,2017,3.280828996282488,3.752209821428624,0.21422276182391736
75,Região Metropolitana de Florianópolis,2018,3.4811738544474595,4.124453255017234,0.26250789040263445
76,Região Metropolitana de Florianópolis,2019,3.623017921146977,4.121626086956557,0.20741732910974922
77,Região Metropolitana de Fortaleza,2013,2.32339211660858,2.7932915891329477,0.2838922928956038
78,Região Metropolitana de Fortaleza,2014,2.449550890895723,2.972920419763848,0.29807380145488654
79,Região Metropolitana de Fortaleza,2015,2.6842254779717845,3.4417460011564334,0.3847882949282384
80,Região Metropolitana de Fortaleza,2016,3.209431836248207,3.897426716839194,0.2989569919028993
81,Região Metropolitana de Fortaleza,2017,3.257671913836046,3.907046036829411,0.28029939465528614
82,Região Metropolitana de Fortaleza,2018,3.578464504284031,4.469012321852752,0.3424642853466634
83,Região Metropolitana de Fortaleza,2019,3.6846122058824013,4.486301607996504,0.30297308968434983
84,Região Metropolitana de Goiânia,2013,1.9225352368003834,2.8485135992746287,0.6114614883907663
85,Região Metropolitana de Goiânia,2014,2.127628299894334,3.0953053797468084,0.5851746467868438
86,Região Metropolitana de Goiânia,2015,2.2380518518518504,3.3507160264900517,0.6259616014867779
87,Região Metropolitana de Goiânia,2016,2.7765072231139425,3.8274108003857434,0.502389662595585
88,Região Metropolitana de Goiânia,2017,2.785108537849965,3.9226574106212935,0.5362144528570914
89,Região Metropolitana de Goiânia,2018,2.916161558441601,4.6429803057787895,0.7037526471862857
90,Região Metropolitana de Goiânia,2019,2.986657426246212,4.5498404609474985,0.6493138979503994
91,Região Metropolitana de João Pessoa,2013,2.257495113096887,2.7496746666666154,0.3035272609638999
92,Região Metropolitana de João Pessoa,2014,2.279120683985529,2.831823052959472,0.33440300559891284
93,Região Metropolitana de João Pessoa,2015,2.3458226620100877,3.0934516246805344,0.4305623624507421
94,Região Metropolitana de João Pessoa,2016,2.981195754716948,3.6026662915025027,0.29159984196492256
95,Região Metropolitana de João Pessoa,2017,2.939364134154645,3.6104976775049757,0.3164771553059506
96,Região Metropolitana de João Pessoa,2018,3.140795580110458,4.177515151515133,0.44459075173989593
97,Região Metropolitana de João Pessoa,2019,3.2610736132710936,4.246621134020576,0.4099994866667734
98,Região Metropolitana de Macapá,2013,2.4366502463054234,2.816999090081902,0.22844624850732037
99,Região Metropolitana de Macapá,2014,2.7442592592592576,2.935441890166045,0.13806774780252137
100,Região Metropolitana de Macapá,2015,2.8568750000000014,3.3224076086956633,0.23644350433405567
101,Região Metropolitana de Macapá,2016,3.6602926829268285,3.656966408268738,0.0822693486898795
102,Região Metropolitana de Macapá,2017,3.770787878787881,3.6844937238493785,0.06851179251952862
103,Região Metropolitana de Macapá,2018,3.743475,4.078939871152452,0.1569629381426042
104,Região Metropolitana de Macapá,2019,3.7498275862068966,3.9472724184782315,0.12300951386865559
105,Região Metropolitana de Maceió,2013,2.4256197850821564,2.8666741263029327,0.2589307361634146
106,Região Metropolitana de Maceió,2014,2.515526004728136,2.985547975191515,0.26500884330707164
107,Região Metropolitana de Maceió,2015,2.5912654627539475,3.3102724601175457,0.3787865234486349
