Marca_Modelo,Quantidade
FIAT/UNO WAY 1.4,31335.0
FIAT/STRADA ADVENT FLEX,31233.0
YAMAHA/XTZ 125E,31127.0
GM/CELTA 5 PORTAS,31000.0
PEUGEOT/207HB XR,30918.0
FIAT/PALIO WEEKEND ELX,30914.0
CHEVROLET/ONIX 1.0MT LS,30876.0
HYUNDAI/HB20 1.6M COMF,30875.0
VW/GOL LS,30828.0
I/TOYOTA HILUXSW4 SRV4X4,30802.0
FIAT/TEMPRA IE,30798.0
I/HYUNDAI TUCSON GL 20L,30655.0
VW/FOX CONNECT MB,30559.0
HYUNDAI/HB20S 1.6M COMF,30547.0
GM/VECTRA SEDAN ELEGANCE,30268.0
FORD/ECOSPORT FSL1.6FLEX,30166.0
VW/FOX 1.6 PLUS,30139.0
NISSAN/KICKS SV CVT,30128.0
HONDA/XLR 125,29958.0
HYUNDAI/CRETA 20A PRESTI,29748.0
HONDA/CG150 TITAN MIX KS,29747.0
GM/KADETT SL EFI,29512.0
VW/FUSCA 1200,29471.0
GM/MONZA GL,29257.0
YAMAHA/XTZ 125K,29124.0
MMC/L200 TRITON 3.2 D,29121.0
CHEVROLET/COBALT 1.4 LT,29069.0
M.BENZ/710,28977.0
HONDA/BIZ 100 ES,28772.0
FORD/PAMPA L,28597.0
HONDA/FIT LXL,28559.0
I/VW SPACEFOX,28538.0
FIAT/TEMPRA OURO 16V,28489.0
HONDA/FIT EX FLEX,28327.0
VW/GOLF,28225.0
FIAT/147 L,28074.0
FORD/DEL REY,27941.0
GM/MONZA,27912.0
YAMAHA/NEO AT115,27835.0
VW/GOL 16V POWER,27727.0
GM/CORSA HATCH,27702.0
RENAULT/LOGAN EXPR 16 M,27661.0
YAMAHA/XTZ150 CROSSER ED,27474.0
FIAT/SIENA ELX,27354.0
VW/POLO MCA,27321.0
RENAULT/SANDERO EXP 16HP,27111.0
GM/VECTRA CD,27106.0
HYUNDAI/HB20 10M SENSE,27089.0
FIAT/DOBLO ADV 1.8 FLEX,27007.0
VW/NOVO VOYAGE 1.0,26966.0
HONDA/BIZ 125 MAIS,26624.0
YAMAHA/FACTOR YBR125 E,26439.0
CHEVROLET/CLASSIC,26403.0
HONDA/XRE 190,26395.0
VW/VOYAGE 1.6 COMFORTL,26331.0
CHEV/ONIX JOY,26128.0
HYUNDAI/IX35 B,26068.0
FORD/FIESTA STREET,26035.0
HONDA/CG150 TITAN MIX EX,25962.0
YAMAHA/CRYPTON T105E,25858.0
FORD/FIESTA HA 1.5L S,25821.0
FORD/COURIER 1.6 L,25791.0
M.BENZ/L 1620,25682.0
GM/VECTRA GL,25672.0
VW/GOL CL 1.8,25608.0
RENAULT/SANDERO STEPWAY,25493.0
FIAT/PUNTO ESSENCE 1.6,25459.0
HONDA/ML 125,25358.0
RENAULT/LOGAN AUT 1016V,25351.0
IMP/VW GOLF GL,25346.0
HONDA/FIT EXL CVT,25281.0
HONDA/CIVIC EXL CVT,25217.0
GM/MONZA SL/E 1.8,25198.0
YAMAHA/FAZER250 BLUEFLEX,25102.0
HONDA/XR 200R,25094.0
IMP/FORD ESCORT GL 16V H,25020.0
I/FIAT PALIO ATTRACT 1.4,24862.0
VW/SANTANA CL,24829.0
CITROEN/C3 90M TENDANCE,24814.0
CHEV/SPIN 1.8L AT LT,24466.0
I/FORD FUSION,24375.0
HONDA/CB250F TWISTER CBS,24373.0
SUNDOWN/WEB 100,24339.0
I/HONDA CR-V LX,24295.0
HYUNDAI/HB20 1.6A PREM,24268.0
VW/GOLF 1.6 SPORTLINE,24250.0
YAMAHA/YBR125 FACTOR ED,24233.0
M.BENZ/A 160,24171.0
I/FIAT SIENA ELX FLEX,24022.0
NISSAN/KICKS S DRCT CVT,24005.0
RENAULT/SANDERO EXPR 16,23971.0
FORD/F4000,23905.0
GM/MONZA GLS,23899.0
VW/VIRTUS CL AD,23888.0
PEUGEOT/206 14 PRESEN FX,23883.0
HONDA/HR-V LX CVT,23863.0
I/NISSAN VERSA 16SL FLEX,23838.0
GM/OMEGA GLS,23783.0
HONDA/CB 400,23667.0
VW/PARATI 1.6,23543.0
GM/CHEVETTE HATCH,23457.0
VW/POLO MF,23350.0
HONDA/CIVIC LXL,23251.0
YAMAHA/YS150 FAZER ED,23187.0
FORD/KA SE 1.5 SD B,23072.0
VW/VIRTUS MF,23013.0
I/HYUNDAI IX35 2.0,22963.0
GM/CHEVETTE L,22949.0
VW/SAVEIRO 1.6 CE,22940.0
HONDA/CG150 TITAN MIX ES,22919.0
VW/NOVO GOL 1.0 CITY,22899.0
GM/CORSA HATCH PREMIUM,22844.0
DAFRA/KANSAS 150,22783.0
VW/PASSAT TS,22742.0
GM/CHEVETTE DL,22737.0
VW/POLO CL AD,22734.0
VW/SANTANA GLS,22733.0
YAMAHA/YBR125 FACTOR K1,22663.0
FIAT/PALIO 16V,22618.0
HONDA/CITY EX CVT,22556.0
IMP/FORD ESCORT GL 16V F,22421.0
FIAT/STRADA FIRE CE FLEX,22351.0
HONDA/CIVIC LXL FLEX,22346.0
HONDA/FIT EX,22272.0
YAMAHA/RD 135,22228.0
GM/KADETT SL,22214.0
FIAT/UNO MILLE IE,22213.0
VW/NOVO VOYAGE TL MBV,22181.0
M.BENZ/L 608 D,22178.0
SR/RANDON SR CA,22148.0
I/RENAULT CLIO CAM 10H3P,22073.0
FIAT/PALIO WK ADVENTURE,21990.0
M.BENZ/INDUSCAR APACHE U,21783.0
HONDA/FIT LXL FLEX,21780.0
CHEVROLET/MONTANA LS2,21631.0
VW/KOMBI PICK UP,21619.0
RENAULT/LOGAN EXPR 1016V,21612.0
I/FORD FOCUS HC FLEX,21611.0
NISSAN/KICKS SL CVT,21490.0
GM/CARAVAN COMODORO,21489.0
VW/VOYAGE GL,21451.0
HYUNDAI/HB20 1.6M 1.6M,21345.0
FIAT/SIENA 1.4 TETRAFUEL,21307.0
YAMAHA/XTZ250 LANDER,21208.0
I/SHINERAY XY 50 Q,21202.0
TOYOTA/ETIOS SD XLS,21179.0
JEEP/COMPASS LONGITUDE D,21161.0
YAMAHA/XTZ150 CROSSER Z,21133.0
HONDA/XRE 300 ABS,21089.0
VW/VOLKSWAGEN,21040.0
VW/PARATI GL,20967.0
