Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B
27,Mitsubishi,2325,LANCER SPORTBACK,2021,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2020,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2019,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2018,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2017,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2016,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2015,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2014,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2013,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2012,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2011,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2010,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2009,LANCER,SPORTBACK
27,Mitsubishi,2325,LANCER SPORTBACK,2008,LANCER,SPORTBACK
27,Mitsubishi,712,PAJERO,2022,PAJERO,
27,Mitsubishi,712,PAJERO,2021,PAJERO,
27,Mitsubishi,712,PAJERO,2020,PAJERO,
27,Mitsubishi,712,PAJERO,2019,PAJERO,
27,Mitsubishi,712,PAJERO,2018,PAJERO,
27,Mitsubishi,712,PAJERO,2017,PAJERO,
27,Mitsubishi,712,PAJERO,2016,PAJERO,
27,Mitsubishi,712,PAJERO,2015,PAJERO,
27,Mitsubishi,712,PAJERO,2014,PAJERO,
27,Mitsubishi,712,PAJERO,2013,PAJERO,
27,Mitsubishi,712,PAJERO,2012,PAJERO,
27,Mitsubishi,712,PAJERO,2011,PAJERO,
27,Mitsubishi,712,PAJERO,2010,PAJERO,
27,Mitsubishi,712,PAJERO,2009,PAJERO,
27,Mitsubishi,712,PAJERO,2008,PAJERO,
27,Mitsubishi,1032,PAJERO DAKAR,2022,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2021,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2020,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2019,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2018,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2017,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2016,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2015,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2014,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2013,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2012,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2011,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2010,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2009,PAJERO,DAKAR
27,Mitsubishi,1032,PAJERO DAKAR,2008,PAJERO,DAKAR
27,Mitsubishi,875,PAJERO FULL,2022,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2021,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2020,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2019,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2018,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2017,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2016,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2015,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2014,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2013,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2012,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2011,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2010,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2009,PAJERO,FULL
27,Mitsubishi,875,PAJERO FULL,2008,PAJERO,FULL
27,Mitsubishi,876,PAJERO SPORT,2022,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2021,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2020,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2019,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2018,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2017,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2016,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2015,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2014,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2013,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2012,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2011,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2010,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2009,PAJERO,SPORT
27,Mitsubishi,876,PAJERO SPORT,2008,PAJERO,SPORT
27,Mitsubishi,874,PAJERO TR4,2022,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2021,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2020,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2019,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2018,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2017,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2016,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2015,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2014,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2013,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2012,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2011,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2010,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2009,PAJERO,TR4
27,Mitsubishi,874,PAJERO TR4,2008,PAJERO,TR4
28,Nissan,720,AX,2022,AX,
28,Nissan,720,AX,2021,AX,
28,Nissan,720,AX,2020,AX,
28,Nissan,720,AX,2019,AX,
28,Nissan,720,AX,2018,AX,
28,Nissan,720,AX,2017,AX,
28,Nissan,721,FRONTIER,2022,FRONTIER,
28,Nissan,721,FRONTIER,2021,FRONTIER,
28,Nissan,721,FRONTIER,2020,FRONTIER,
28,Nissan,721,FRONTIER,2019,FRONTIER,
28,Nissan,721,FRONTIER,2018,FRONTIER,
28,Nissan,721,FRONTIER,2017,FRONTIER,
28,Nissan,2696,KICKS,2022,KICKS,
28,Nissan,2696,KICKS,2021,KICKS,
28,Nissan,2696,KICKS,2020,KICKS,
28,Nissan,2696,KICKS,2019,KICKS,
28,Nissan,2696,KICKS,2018,KICKS,
28,Nissan,2696,KICKS,2017,KICKS,
28,Nissan,2701,LEAF,2022,LEAF,
28,Nissan,2701,LEAF,2021,LEAF,
28,Nissan,2701,LEAF,2020,LEAF,
28,Nissan,2701,LEAF,2019,LEAF,
28,Nissan,2701,LEAF,2018,LEAF,
28,Nissan,2701,LEAF,2017,LEAF,
28,Nissan,1001,LIVINA,2022,LIVINA,
28,Nissan,1001,LIVINA,2021,LIVINA,
28,Nissan,1001,LIVINA,2020,LIVINA,
28,Nissan,1001,LIVINA,2019,LIVINA,
28,Nissan,1001,LIVINA,2018,LIVINA,
28,Nissan,1001,LIVINA,2017,LIVINA,
28,Nissan,2314,MARCH,2022,MARCH,
28,Nissan,2314,MARCH,2021,MARCH,
28,Nissan,2314,MARCH,2020,MARCH,
28,Nissan,2314,MARCH,2019,MARCH,
28,Nissan,2314,MARCH,2018,MARCH,
28,Nissan,2314,MARCH,2017,MARCH,
28,Nissan,390,NX 2000,2022,NX,2000
