RM,Ano,Produto,Valor_Venda
Região Metropolitana de Aracaju,2015,GNV,2.0762031249999904
Região Metropolitana de Aracaju,2016,DIESEL,2.971488188976363
Região Metropolitana de Aracaju,2016,DIESEL S10,3.2051605504587166
Região Metropolitana de Aracaju,2016,ALCOOL,3.132753709198818
Região Metropolitana de Aracaju,2016,GASOLINA,3.6778507223114087
Região Metropolitana de Aracaju,2016,GNV,2.3412111650485494
Região Metropolitana de Aracaju,2017,DIESEL,3.0325439429928713
Região Metropolitana de Aracaju,2017,DIESEL S10,3.236827794561916
Região Metropolitana de Aracaju,2017,ALCOOL,3.1512347417840294
Região Metropolitana de Aracaju,2017,GASOLINA,3.7018644986449685
Região Metropolitana de Aracaju,2017,GNV,2.537407407407407
Região Metropolitana de Aracaju,2018,DIESEL,3.5003310023310057
Região Metropolitana de Aracaju,2018,DIESEL S10,3.6715225019069306
Região Metropolitana de Aracaju,2018,ALCOOL,3.517107818930025
Região Metropolitana de Aracaju,2018,GASOLINA,4.440193205944789
Região Metropolitana de Aracaju,2018,GNV,3.0972434210526303
Região Metropolitana de Aracaju,2019,DIESEL,3.6349066937119754
Região Metropolitana de Aracaju,2019,DIESEL S10,3.7574986754966884
Região Metropolitana de Aracaju,2019,ALCOOL,3.478680327868856
Região Metropolitana de Aracaju,2019,GASOLINA,4.410607682619602
Região Metropolitana de Aracaju,2019,GNV,3.7108532110091734
Região Metropolitana de Belo Horizonte,2013,DIESEL,2.3451964361477278
Região Metropolitana de Belo Horizonte,2013,DIESEL S10,2.481329268292668
Região Metropolitana de Belo Horizonte,2013,ALCOOL,2.063970696681532
Região Metropolitana de Belo Horizonte,2013,GASOLINA,2.796538483630105
Região Metropolitana de Belo Horizonte,2013,GNV,1.7732683333333266
Região Metropolitana de Belo Horizonte,2014,DIESEL,2.519800033806618
Região Metropolitana de Belo Horizonte,2014,DIESEL S10,2.6595032317636247
Região Metropolitana de Belo Horizonte,2014,ALCOOL,2.158409989713106
Região Metropolitana de Belo Horizonte,2014,GASOLINA,2.8940872899515426
Região Metropolitana de Belo Horizonte,2014,GNV,1.8833042704626366
Região Metropolitana de Belo Horizonte,2015,DIESEL,2.8006256028058236
Região Metropolitana de Belo Horizonte,2015,DIESEL S10,2.9340984117097326
Região Metropolitana de Belo Horizonte,2015,ALCOOL,2.272141248304009
Região Metropolitana de Belo Horizonte,2015,GASOLINA,3.2754282857905133
Região Metropolitana de Belo Horizonte,2015,GNV,2.028756653992399
Região Metropolitana de Belo Horizonte,2016,DIESEL,2.970292974588928
Região Metropolitana de Belo Horizonte,2016,DIESEL S10,3.094746718146691
Região Metropolitana de Belo Horizonte,2016,ALCOOL,2.6674635221512277
Região Metropolitana de Belo Horizonte,2016,GASOLINA,3.6277790826501723
Região Metropolitana de Belo Horizonte,2016,GNV,2.3137362637362626
Região Metropolitana de Belo Horizonte,2017,DIESEL,3.0272586466165237
Região Metropolitana de Belo Horizonte,2017,DIESEL S10,3.195479325572047
Região Metropolitana de Belo Horizonte,2017,ALCOOL,2.715289732024412
Região Metropolitana de Belo Horizonte,2017,GASOLINA,3.7286944072785464
Região Metropolitana de Belo Horizonte,2017,GNV,2.464391304347827
Região Metropolitana de Belo Horizonte,2018,DIESEL,3.51676807851237
Região Metropolitana de Belo Horizonte,2018,DIESEL S10,3.6183755687784234
Região Metropolitana de Belo Horizonte,2018,ALCOOL,3.0389728571428383
Região Metropolitana de Belo Horizonte,2018,GASOLINA,4.594496553363523
Região Metropolitana de Belo Horizonte,2018,GNV,2.7992682926829273
Região Metropolitana de Belo Horizonte,2019,DIESEL,3.5988696794534727
Região Metropolitana de Belo Horizonte,2019,DIESEL S10,3.7298676377454494
Região Metropolitana de Belo Horizonte,2019,ALCOOL,2.9861097279852835
Região Metropolitana de Belo Horizonte,2019,GASOLINA,4.5760593103448395
Região Metropolitana de Belo Horizonte,2019,GNV,3.4496992481203
Região Metropolitana de Belém,2013,DIESEL,2.2685600000000012
Região Metropolitana de Belém,2013,DIESEL S10,2.4476642382008515
