Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B,Modelo_C
15,Ford,628,RANGER (CABINE DUPLA),2021,RANGER,(CABINE,DUPLA)
15,Ford,2498,RANGER (CABINE SIMPLES-ESTENDIDA),2021,RANGER,(CABINE,SIMPLES-ESTENDIDA)
15,Ford,2807,TERRITORY,2021,TERRITORY,,
15,Ford,295,VERONA,2021,VERONA,,
15,Ford,224,VERSAILLES,2021,VERSAILLES,,
15,Ford,296,VERSAILLES ROYALE,2021,VERSAILLES,ROYALE,
15,Ford,225,WINDSTAR,2021,WINDSTAR,,
16,Honda,1036,CITY,2021,CITY,,
16,Honda,231,CIVIC,2021,CIVIC,,
16,Honda,229,CIVIC COUPE,2021,CIVIC,COUPE,
16,Honda,230,CIVIC HATCH,2021,CIVIC,HATCH,
16,Honda,232,CIVIC TARGA,2021,CIVIC,TARGA,
16,Honda,647,CR-V,2021,CR-V,,
16,Honda,233,FIT,2021,FIT,,
16,Honda,2627,HR-V,2021,HR-V,,
16,Honda,2720,WR-V,2021,WR-V,,
17,Hyundai,238,ATOS,2022,ATOS,,
17,Hyundai,926,AZERA,2022,AZERA,,
17,Hyundai,2714,CRETA,2022,CRETA,,
17,Hyundai,241,ELANTRA,2022,ELANTRA,,
17,Hyundai,242,ELANTRA WAGON,2022,ELANTRA,WAGON,
17,Hyundai,243,EXCEL,2022,EXCEL,,
17,Hyundai,2398,HB20,2022,HB20,,
17,Hyundai,2448,HB20S,2022,HB20S,,
17,Hyundai,2439,HB20X,2022,HB20X,,
17,Hyundai,865,HR,2022,HR,,
17,Hyundai,1018,I30,2022,I30,,
17,Hyundai,1112,I30 CW,2022,I30,CW,
17,Hyundai,1082,IX35,2022,IX35,,
17,Hyundai,656,SANTA FE,2022,SANTA,FE,
17,Hyundai,246,TRAJET,2022,TRAJET,,
17,Hyundai,826,TUCSON,2022,TUCSON,,
228,Jac,2802,IEV 1200T,2022,IEV,1200T,
228,Jac,2783,IEV 20,2022,IEV,20,
228,Jac,2804,IEV 330P,2022,IEV,330P,
228,Jac,2784,IEV 40,2022,IEV,40,
228,Jac,2803,IEV 60,2022,IEV,60,
228,Jac,2250,J3,2022,J3,,
228,Jac,2259,J3 TURIN,2022,J3,TURIN,
228,Jac,2466,T140,2022,T140,,
228,Jac,2671,T5,2022,T5,,
228,Jac,2780,T50,2022,T50,,
18,Jaguar,2657,XE,2020,XE,,
19,Jeep,2340,COMPASS,2021,COMPASS,,
19,Jeep,2628,RENEGADE,2021,RENEGADE,,
20,Kia,669,BESTA,2022,BESTA,,
20,Kia,885,CERATO,2022,CERATO,,
20,Kia,1000,MOHAVE,2022,MOHAVE,,
20,Kia,889,PICANTO,2022,PICANTO,,
20,Kia,261,SEPHIA,2022,SEPHIA,,
20,Kia,673,SORENTO,2022,SORENTO,,
20,Kia,1033,SOUL,2022,SOUL,,
20,Kia,674,SPORTAGE,2022,SPORTAGE,,
20,Kia,2769,STINGER,2022,STINGER,,
52,Lamborghini,2330,AVENTADOR,2016,AVENTADOR,,
