Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B,Combustivel
40,Outras,767,RAV4,2018,RAV4 2.0 CVT,28419,Gasolina,N/D,9.5,N/D,10.9,N/D,40-767-2018,40-767-28419-2018,GASOLINA
40,Outras,767,RAV4,2019,RAV4 2.0 CVT,29362,Gasolina,N/D,9.5,N/D,10.9,N/D,40-767-2019,40-767-29362-2019,GASOLINA
40,Outras,767,RAV4,2013,RAV4 4x2 2.0 16V (aut),15036,Gasolina,N/D,9.5,N/D,10.9,N/D,40-767-2013,40-767-15036-2013,GASOLINA
36,Volkswagen,481,GOLF,1994,Golf GLX 2.0 i,1831,Gasolina,N/D,9.5,N/D,16.7,N/D,36-481-1994,36-481-1831-1994,GASOLINA
31,Renault,431,CLIO,2007,Clio Authentique 1.0 16V (Flex) 2p,22399,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2007,31-431-22399-2007,FLEX
40,Outras,767,RAV4,2015,RAV4 2.0 CVT,22032,Gasolina,N/D,9.5,N/D,10.9,N/D,40-767-2015,40-767-22032-2015,GASOLINA
29,Peugeot,2754,5008,2020,5008 1.6 THP Griffe Pack,30073,Gasolina,N/D,9.5,N/D,12.1,N/D,29-2754-2020,29-2754-30073-2020,GASOLINA
17,Hyundai,2448,HB20S,2022,HB20S 1.0 Vision,30965,Álcool,Gasolina,9.5,12.8,10.6,14.7,17-2448-2022,17-2448-30965-2022,FLEX
31,Renault,431,CLIO,2006,Clio Authentique 1.0 16V (Flex) 2p,22399,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2006,31-431-22399-2006,FLEX
31,Renault,431,CLIO,2005,Clio Authentique 1.0 16V (Flex) 2p,22399,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2005,31-431-22399-2005,FLEX
31,Renault,431,CLIO,2004,Clio Authentique 1.0 16V (Flex) 2p,22399,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2004,31-431-22399-2004,FLEX
31,Renault,431,CLIO,2003,Clio Authentique 1.0 16V (Flex) 2p,22399,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2003,31-431-22399-2003,FLEX
31,Renault,431,CLIO,2002,Clio Authentique 1.0 16V (Flex) 2p,22399,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2002,31-431-22399-2002,FLEX
15,Ford,628,RANGER (CABINE DUPLA),2021,Ranger 2.2 CD XLS (Aut),30342,Diesel,N/D,9.5,N/D,11.5,N/D,15-628-2021,15-628-30342-2021,DIESEL
27,Mitsubishi,2244,ASX,2018,ASX 2.0 16V CVT,27630,Álcool,Gasolina,9.4,N/D,10.7,N/D,27-2244-2018,27-2244-27630-2018,FLEX
31,Renault,910,LOGAN,2019,Logan Authentique 1.0 12V SCe (Flex),28728,Álcool,Gasolina,9.4,14,10.2,14.9,31-910-2019,31-910-28728-2019,FLEX
31,Renault,910,LOGAN,2018,Logan Authentique 1.0 12V SCe (Flex),27536,Álcool,Gasolina,9.4,13.8,10,14.5,31-910-2018,31-910-27536-2018,FLEX
