Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B
16,Honda,2627,HR-V,2019,HR-V 1.8 LX CVT,30644,,,,,,,16-2627-2019,16-2627-30644-2019
16,Honda,2627,HR-V,2018,HR-V 1.8 LX CVT,30644,,,,,,,16-2627-2018,16-2627-30644-2018
16,Honda,2627,HR-V,2017,HR-V 1.8 LX CVT,30644,,,,,,,16-2627-2017,16-2627-30644-2017
16,Honda,2627,HR-V,2016,HR-V 1.8 LX CVT,30644,,,,,,,16-2627-2016,16-2627-30644-2016
16,Honda,2720,WR-V,2020,WR-V 1.5 LX CVT,30527,,,,,,,16-2720-2020,16-2720-30527-2020
16,Honda,2720,WR-V,2019,WR-V 1.5 LX CVT,30527,,,,,,,16-2720-2019,16-2720-30527-2019
16,Honda,2720,WR-V,2018,WR-V 1.5 LX CVT,30527,,,,,,,16-2720-2018,16-2720-30527-2018
17,Hyundai,2398,HB20,2020,HB20 1.0 Sense,30963,,,,,,,17-2398-2020,17-2398-30963-2020
17,Hyundai,2398,HB20,2019,HB20 1.0 Sense,30963,,,,,,,17-2398-2019,17-2398-30963-2019
17,Hyundai,2398,HB20,2018,HB20 1.0 Sense,30963,,,,,,,17-2398-2018,17-2398-30963-2018
17,Hyundai,2398,HB20,2017,HB20 1.0 Sense,30963,,,,,,,17-2398-2017,17-2398-30963-2017
17,Hyundai,2398,HB20,2016,HB20 1.0 Sense,30963,,,,,,,17-2398-2016,17-2398-30963-2016
17,Hyundai,2398,HB20,2015,HB20 1.0 Sense,30963,,,,,,,17-2398-2015,17-2398-30963-2015
17,Hyundai,2398,HB20,2014,HB20 1.0 Sense,30963,,,,,,,17-2398-2014,17-2398-30963-2014
17,Hyundai,2398,HB20,2013,HB20 1.0 Sense,30963,,,,,,,17-2398-2013,17-2398-30963-2013
17,Hyundai,2448,HB20S,2020,HB20S 1.0 Vision,30965,,,,,,,17-2448-2020,17-2448-30965-2020
17,Hyundai,2448,HB20S,2019,HB20S 1.0 Vision,30965,,,,,,,17-2448-2019,17-2448-30965-2019
17,Hyundai,2448,HB20S,2018,HB20S 1.0 Vision,30965,,,,,,,17-2448-2018,17-2448-30965-2018
17,Hyundai,2448,HB20S,2017,HB20S 1.0 Vision,30965,,,,,,,17-2448-2017,17-2448-30965-2017
17,Hyundai,2448,HB20S,2016,HB20S 1.0 Vision,30965,,,,,,,17-2448-2016,17-2448-30965-2016
17,Hyundai,2448,HB20S,2015,HB20S 1.0 Vision,30965,,,,,,,17-2448-2015,17-2448-30965-2015
17,Hyundai,2448,HB20S,2014,HB20S 1.0 Vision,30965,,,,,,,17-2448-2014,17-2448-30965-2014
17,Hyundai,2439,HB20X,2018,HB20X 1.6 Vision,30974,,,,,,,17-2439-2018,17-2439-30974-2018
17,Hyundai,2439,HB20X,2017,HB20X 1.6 Vision,30974,,,,,,,17-2439-2017,17-2439-30974-2017
17,Hyundai,2439,HB20X,2016,HB20X 1.6 Vision,30974,,,,,,,17-2439-2016,17-2439-30974-2016
17,Hyundai,2439,HB20X,2015,HB20X 1.6 Vision,30974,,,,,,,17-2439-2015,17-2439-30974-2015
17,Hyundai,2439,HB20X,2014,HB20X 1.6 Vision,30974,,,,,,,17-2439-2014,17-2439-30974-2014
17,Hyundai,865,HR,2013,HR 2.5 CRDI,31020,,,,,,,17-865-2013,17-865-31020-2013
17,Hyundai,865,HR,2011,HR 2.5 CRDI,31020,,,,,,,17-865-2011,17-865-31020-2011
17,Hyundai,865,HR,2010,HR 2.5 CRDI,31020,,,,,,,17-865-2010,17-865-31020-2010
17,Hyundai,865,HR,2009,HR 2.5 CRDI,31020,,,,,,,17-865-2009,17-865-31020-2009
17,Hyundai,865,HR,2008,HR 2.5 CRDI,31020,,,,,,,17-865-2008,17-865-31020-2008
17,Hyundai,1082,ix35,2017,ix35 2.0 GL (Aut),30878,,,,,,,17-1082-2017,17-1082-30878-2017
17,Hyundai,1082,ix35,2016,ix35 2.0 GL (Aut),30878,,,,,,,17-1082-2016,17-1082-30878-2016
17,Hyundai,1082,ix35,2015,ix35 2.0 GL (Aut),30878,,,,,,,17-1082-2015,17-1082-30878-2015
