Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI Track (Flex),27446,,,,,,,36-480-2009,36-480-27446-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI Track (Flex),27446,,,,,,,36-480-1997,36-480-27446-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI Track (Flex),27446,,,,,,,36-480-1996,36-480-27446-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI Track (Flex),27446,,,,,,,36-480-1995,36-480-27446-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI Trendline (Flex),27450,,,,,,,36-480-2010,36-480-27450-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI Trendline (Flex),27450,,,,,,,36-480-2009,36-480-27450-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI Trendline (Flex),27450,,,,,,,36-480-1997,36-480-27450-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI Trendline (Flex),27450,,,,,,,36-480-1996,36-480-27450-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI Trendline (Flex),27450,,,,,,,36-480-1995,36-480-27450-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI Comfortline (Flex),27449,,,,,,,36-480-2010,36-480-27449-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI Comfortline (Flex),27449,,,,,,,36-480-2009,36-480-27449-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI Comfortline (Flex),27449,,,,,,,36-480-1997,36-480-27449-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI Comfortline (Flex),27449,,,,,,,36-480-1996,36-480-27449-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI Comfortline (Flex),27449,,,,,,,36-480-1995,36-480-27449-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI Comfortline I-Motion (Flex),27448,,,,,,,36-480-2010,36-480-27448-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI Comfortline I-Motion (Flex),27448,,,,,,,36-480-2009,36-480-27448-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI Comfortline I-Motion (Flex),27448,,,,,,,36-480-1997,36-480-27448-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI Comfortline I-Motion (Flex),27448,,,,,,,36-480-1996,36-480-27448-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI Comfortline I-Motion (Flex),27448,,,,,,,36-480-1995,36-480-27448-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI Trendline (Flex) 2p,25873,,,,,,,36-480-2010,36-480-25873-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI Trendline (Flex) 2p,25873,,,,,,,36-480-2009,36-480-25873-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI Trendline (Flex) 2p,25873,,,,,,,36-480-1997,36-480-25873-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI Trendline (Flex) 2p,25873,,,,,,,36-480-1996,36-480-25873-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI Trendline (Flex) 2p,25873,,,,,,,36-480-1995,36-480-25873-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI City (Flex) 2p,26894,,,,,,,36-480-2010,36-480-26894-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI City (Flex) 2p,26894,,,,,,,36-480-2009,36-480-26894-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI City (Flex) 2p,26894,,,,,,,36-480-1997,36-480-26894-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI City (Flex) 2p,26894,,,,,,,36-480-1996,36-480-26894-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI City (Flex) 2p,26894,,,,,,,36-480-1995,36-480-26894-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI Trendline (Flex),25305,,,,,,,36-480-2010,36-480-25305-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI Trendline (Flex),25305,,,,,,,36-480-2009,36-480-25305-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI Trendline (Flex),25305,,,,,,,36-480-1997,36-480-25305-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI Trendline (Flex),25305,,,,,,,36-480-1996,36-480-25305-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI Trendline (Flex),25305,,,,,,,36-480-1995,36-480-25305-1995
