RM,Ano,Combustivel,Quantidade
Região Integrada de Desenvolvimento da Grande Teresina,2013,Volume_Venda_Gasolina,257380020.0
Região Integrada de Desenvolvimento da Grande Teresina,2014,Volume_Venda_Alcool,14530544.0
Região Integrada de Desenvolvimento da Grande Teresina,2014,Volume_Venda_Diesel,231652450.0
Região Integrada de Desenvolvimento da Grande Teresina,2014,Volume_Venda_Gasolina,285360898.0
Região Integrada de Desenvolvimento da Grande Teresina,2015,Volume_Venda_Alcool,27285407.0
Região Integrada de Desenvolvimento da Grande Teresina,2015,Volume_Venda_Diesel,214061416.0
Região Integrada de Desenvolvimento da Grande Teresina,2015,Volume_Venda_Gasolina,284356100.0
Região Integrada de Desenvolvimento da Grande Teresina,2016,Volume_Venda_Alcool,25374635.0
Região Integrada de Desenvolvimento da Grande Teresina,2016,Volume_Venda_Diesel,188183250.0
Região Integrada de Desenvolvimento da Grande Teresina,2016,Volume_Venda_Gasolina,292423812.0
Região Integrada de Desenvolvimento da Grande Teresina,2017,Volume_Venda_Alcool,26233179.0
Região Integrada de Desenvolvimento da Grande Teresina,2017,Volume_Venda_Diesel,183179517.829293
Região Integrada de Desenvolvimento da Grande Teresina,2017,Volume_Venda_Gasolina,299320989.0
Região Integrada de Desenvolvimento da Grande Teresina,2018,Volume_Venda_Alcool,52882425.0
Região Integrada de Desenvolvimento da Grande Teresina,2018,Volume_Venda_Diesel,185811531.0
Região Integrada de Desenvolvimento da Grande Teresina,2018,Volume_Venda_Gasolina,270045662.0
Região Integrada de Desenvolvimento da Grande Teresina,2019,Volume_Venda_Alcool,68470186.0
Região Integrada de Desenvolvimento da Grande Teresina,2019,Volume_Venda_Diesel,194404070.0
Região Integrada de Desenvolvimento da Grande Teresina,2019,Volume_Venda_Gasolina,270241226.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2000,Volume_Venda_Alcool,181616003.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2000,Volume_Venda_Diesel,558141560.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2000,Volume_Venda_Gasolina,697410763.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2001,Volume_Venda_Alcool,3895950.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2001,Volume_Venda_Diesel,620925556.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2001,Volume_Venda_Gasolina,709438775.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2002,Volume_Venda_Alcool,140225471.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2002,Volume_Venda_Diesel,639458192.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2002,Volume_Venda_Gasolina,753821267.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2003,Volume_Venda_Alcool,118193879.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2003,Volume_Venda_Diesel,606478305.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2003,Volume_Venda_Gasolina,752775949.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2004,Volume_Venda_Alcool,108113151.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2004,Volume_Venda_Diesel,613203572.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2004,Volume_Venda_Gasolina,826830256.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2005,Volume_Venda_Alcool,102805812.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2005,Volume_Venda_Diesel,627383433.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2005,Volume_Venda_Gasolina,841259523.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2006,Volume_Venda_Alcool,112779088.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2006,Volume_Venda_Diesel,580862284.5189943
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2006,Volume_Venda_Gasolina,866729138.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2007,Volume_Venda_Alcool,201464670.530804
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2007,Volume_Venda_Diesel,638177232.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2007,Volume_Venda_Gasolina,868983644.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2008,Volume_Venda_Alcool,243108458.0
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2008,Volume_Venda_Diesel,674614883.182384
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2008,Volume_Venda_Gasolina,927534993.0
