Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B
28,Nissan,390,NX 2000,2022,NX,2000
28,Nissan,2318,VERSA,2022,VERSA,
28,Nissan,728,XTERRA,2022,XTERRA,
40,Outras,468,COROLLA,2022,COROLLA,
40,Outras,2823,COROLLA CROSS,2022,COROLLA,CROSS
40,Outras,904,COROLLA FIELDER,2022,COROLLA,FIELDER
40,Outras,469,COROLLA WAGON,2022,COROLLA,WAGON
40,Outras,2417,ETIOS HATCH,2022,ETIOS,HATCH
40,Outras,2418,ETIOS SEDAN,2022,ETIOS,SEDAN
40,Outras,2758,YARIS HATCH,2022,YARIS,HATCH
40,Outras,2759,YARIS SEDAN,2022,YARIS,SEDAN
29,Peugeot,2636,2008,2021,2008,
29,Peugeot,401,206,2021,206,
29,Peugeot,400,206 CC,2021,206,CC
29,Peugeot,820,206 SW,2021,206,SW
29,Peugeot,948,207,2021,207,
29,Peugeot,949,207 SEDAN,2021,207,SEDAN
29,Peugeot,950,207 SW,2021,207,SW
29,Peugeot,987,207 SW ESCAPADE,2021,207,SW ESCAPADE
29,Peugeot,2419,208,2021,208,
31,Renault,2717,CAPTUR,2022,CAPTUR,
31,Renault,431,CLIO,2022,CLIO,
31,Renault,432,CLIO SEDAN,2022,CLIO,SEDAN
31,Renault,2320,DUSTER,2022,DUSTER,
31,Renault,2652,DUSTER OROCH,2022,DUSTER,OROCH
31,Renault,2727,KWID,2022,KWID,
31,Renault,910,LOGAN,2022,LOGAN,
31,Renault,739,MASTER,2022,MASTER,
31,Renault,2497,MASTER CHASSI,2022,MASTER,CHASSI
31,Renault,927,MEGANE CABRIOLET,2022,MEGANE,CABRIOLET
31,Renault,903,MEGANE GRAND TOUR,2022,MEGANE,GRAND TOUR
31,Renault,437,MEGANE HATCH,2022,MEGANE,HATCH
31,Renault,439,MEGANE SEDAN,2022,MEGANE,SEDAN
31,Renault,919,SANDERO,2022,SANDERO,
31,Renault,2634,SANDERO STEPWAY,2022,SANDERO,STEPWAY
31,Renault,438,SCENIC,2022,SCENIC,
41,SsangYong,929,ACTYON,2018,ACTYON,
41,SsangYong,930,ACTYON SPORTS,2018,ACTYON,SPORTS
41,SsangYong,2765,XLV,2018,XLV,
33,Subaru,944,TRIBECA,2018,TRIBECA,
34,Suzuki,756,SUPER CARRY,2022,SUPER,CARRY
36,Volkswagen,793,BRASILIA,1975,BRASILIA,
36,Volkswagen,475,APOLLO,2022,APOLLO,
36,Volkswagen,829,CROSSFOX,2022,CROSSFOX,
36,Volkswagen,478,FOX,2022,FOX,
36,Volkswagen,479,FUSCA,2022,FUSCA,
36,Volkswagen,775,GOL FURGAO,2022,GOL,FURGAO
36,Volkswagen,481,GOLF,2022,GOLF,
36,Volkswagen,482,GOLF CABRIO,2022,GOLF,CABRIO
36,Volkswagen,2638,GOLF VARIANT,2022,GOLF,VARIANT
36,Volkswagen,776,KOMBI,2022,KOMBI,
36,Volkswagen,777,KOMBI FURGÃO,2022,KOMBI,FURGÃO
36,Volkswagen,778,KOMBI PICK-UP,2022,KOMBI,PICK-UP
36,Volkswagen,484,LOGUS,2022,LOGUS,
36,Volkswagen,486,PARATI,2022,PARATI,
36,Volkswagen,487,PASSAT,2022,PASSAT,
36,Volkswagen,1072,PASSAT CC,2022,PASSAT,CC
36,Volkswagen,488,PASSAT VARIANT,2022,PASSAT,VARIANT
36,Volkswagen,491,POLO,2022,POLO,
36,Volkswagen,490,POLO CLASSIC,2022,POLO,CLASSIC
36,Volkswagen,492,POLO SEDAN,2022,POLO,SEDAN
36,Volkswagen,494,QUANTUM,2022,QUANTUM,
36,Volkswagen,779,SAVEIRO,2022,SAVEIRO,
36,Volkswagen,1061,TL,2022,TL,
36,Volkswagen,2519,UP!,2022,UP!,
36,Volkswagen,1037,VARIANT,2022,VARIANT,
36,Volkswagen,2750,VIRTUS,2022,VIRTUS,
36,Volkswagen,495,VOYAGE,2022,VOYAGE,
38,Volvo,854,V70,2021,V70,
38,Volvo,994,XC60,2021,XC60,
35,Toyota,468,COROLLA,2022,COROLLA,
35,Toyota,468,COROLLA,2021,COROLLA,
35,Toyota,468,COROLLA,2020,COROLLA,
35,Toyota,468,COROLLA,2019,COROLLA,
35,Toyota,468,COROLLA,2018,COROLLA,
35,Toyota,468,COROLLA,2017,COROLLA,
35,Toyota,468,COROLLA,2016,COROLLA,
35,Toyota,468,COROLLA,2015,COROLLA,
35,Toyota,468,COROLLA,2014,COROLLA,
35,Toyota,468,COROLLA,2013,COROLLA,
35,Toyota,468,COROLLA,2012,COROLLA,
35,Toyota,468,COROLLA,2011,COROLLA,
35,Toyota,468,COROLLA,2010,COROLLA,
35,Toyota,468,COROLLA,2009,COROLLA,
35,Toyota,468,COROLLA,2008,COROLLA,
35,Toyota,468,COROLLA,2007,COROLLA,
35,Toyota,468,COROLLA,2006,COROLLA,
35,Toyota,468,COROLLA,2005,COROLLA,
35,Toyota,468,COROLLA,2004,COROLLA,
35,Toyota,468,COROLLA,2003,COROLLA,
35,Toyota,468,COROLLA,2002,COROLLA,
35,Toyota,468,COROLLA,2001,COROLLA,
35,Toyota,468,COROLLA,2000,COROLLA,
35,Toyota,468,COROLLA,1999,COROLLA,
35,Toyota,468,COROLLA,1998,COROLLA,
35,Toyota,468,COROLLA,1997,COROLLA,
35,Toyota,468,COROLLA,1996,COROLLA,
35,Toyota,468,COROLLA,1995,COROLLA,
35,Toyota,468,COROLLA,1994,COROLLA,
35,Toyota,468,COROLLA,1993,COROLLA,
35,Toyota,468,COROLLA,1992,COROLLA,
35,Toyota,2823,COROLLA CROSS,2022,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2021,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2020,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2019,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2018,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2017,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2016,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2015,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2014,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2013,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2012,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2011,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2010,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2009,COROLLA,CROSS
35,Toyota,2823,COROLLA CROSS,2008,COROLLA,CROSS
