Marca_Cod,Modelo_Cod,Ano,Chave_A
15,610,2021,15-610-2021
15,611,2021,15-611-2021
15,618,2021,15-618-2021
15,619,2021,15-619-2021
15,622,2021,15-622-2021
15,979,2021,15-979-2021
15,784,2021,15-784-2021
15,2611,2021,15-2611-2021
15,283,2021,15-283-2021
15,284,2021,15-284-2021
15,285,2021,15-285-2021
15,286,2021,15-286-2021
15,1064,2021,15-1064-2021
15,623,2021,15-623-2021
15,881,2021,15-881-2021
15,785,2021,15-785-2021
15,897,2021,15-897-2021
15,625,2021,15-625-2021
15,1047,2021,15-1047-2021
15,786,2021,15-786-2021
15,1098,2021,15-1098-2021
15,787,2021,15-787-2021
15,288,2021,15-288-2021
15,289,2021,15-289-2021
15,2381,2021,15-2381-2021
15,2328,2021,15-2328-2021
15,627,2021,15-627-2021
15,291,2021,15-291-2021
15,798,2021,15-798-2021
15,292,2021,15-292-2021
15,293,2021,15-293-2021
15,294,2021,15-294-2021
15,993,2021,15-993-2021
15,295,2021,15-295-2021
15,224,2021,15-224-2021
15,296,2021,15-296-2021
15,225,2021,15-225-2021
16,227,2021,16-227-2021
16,298,2021,16-298-2021
16,228,2021,16-228-2021
16,229,2021,16-229-2021
16,230,2021,16-230-2021
16,232,2021,16-232-2021
16,990,2021,16-990-2021
16,3,2021,16-3-2021
16,234,2021,16-234-2021
16,648,2021,16-648-2021
16,235,2021,16-235-2021
16,940,2021,16-940-2021
17,237,2022,17-237-2022
17,236,2022,17-236-2022
17,238,2022,17-238-2022
17,926,2022,17-926-2022
17,239,2022,17-239-2022
17,2714,2022,17-2714-2022
17,241,2022,17-241-2022
17,242,2022,17-242-2022
17,2392,2022,17-2392-2022
17,243,2022,17-243-2022
17,650,2022,17-650-2022
17,2352,2022,17-2352-2022
17,651,2022,17-651-2022
17,652,2022,17-652-2022
17,1018,2022,17-1018-2022
17,1112,2022,17-1112-2022
17,2658,2022,17-2658-2022
17,892,2022,17-892-2022
17,656,2022,17-656-2022
17,244,2022,17-244-2022
17,245,2022,17-245-2022
17,657,2022,17-657-2022
17,246,2022,17-246-2022
17,2312,2022,17-2312-2022
17,916,2022,17-916-2022
71,2684,2019,71-2684-2019
71,2685,2019,71-2685-2019
228,2432,2022,228-2432-2022
228,2250,2022,228-2250-2022
228,2259,2022,228-2259-2022
228,2341,2022,228-2341-2022
228,2310,2022,228-2310-2022
228,2466,2022,228-2466-2022
228,2671,2022,228-2671-2022
228,2614,2022,228-2614-2022
228,2522,2022,228-2522-2022
228,2779,2022,228-2779-2022
228,2739,2022,228-2739-2022
18,247,2020,18-247-2020
18,249,2020,18-249-2020
18,842,2020,18-842-2020
18,254,2020,18-254-2020
18,250,2020,18-250-2020
18,788,2020,18-788-2020
18,2301,2020,18-2301-2020
